@relation boobsDependingOnIQ

@attribute 'IQ' NUMERIC
@attribute 'boobsSize' numeric

@data
139, 1
68, 4
98, 3
113, 1
89, 3
91, 3
58, 5
68, 5
78, 3
148, 0
64, 4
90, 3
77, 4
73, 4
106, 2
73, 4
113, 1
57, 5
103, 3
148, 0
86, 3
126, 1
57, 4
51, 5
84, 4
61, 5
116, 2
52, 5
136, 1
149, 0
118, 2
61, 5
80, 3
125, 1
148, 0
109, 2
118, 2
90, 3
98, 3
137, 1
62, 4
69, 4
138, 0
109, 2
142, 0
55, 5
64, 4
95, 3
116, 2
143, 0
142, 0
129, 1
70, 4
79, 3
95, 2
91, 3
70, 4
136, 1
108, 2
83, 4
53, 5
104, 3
147, 1
110, 2
70, 4
74, 4
149, 0
71, 4
93, 3
131, 1
70, 4
78, 3
75, 4
150, 0
139, 0
108, 2
123, 2
139, 1
100, 2
117, 1
111, 2
122, 1
95, 3
90, 3
92, 3
84, 3
83, 4
120, 2
81, 3
81, 4
68, 4
96, 3
52, 5
120, 2
124, 2
97, 2
90, 3
83, 3
90, 3
100, 2
